List of Listed Companies & Contact Information,,,,,,As of 15 Dec 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
2S,2S METAL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"8/5 Moo 14, Tha-change, Bangklam District Songkhla",90110,0-7480-0111,0-7480-1286,www.ss.co.th
3BBIF,3BB INTERNET INFRASTRUCTURE FUND,SET,Technology,Information & Communication Technology,"175 Sathorn City Tower, 7,21,26 Floor, South Sathorn Road, Tungmahamek, Sathorn Bangkok",10120,0-2674-6488,0-2679-5996,https://www.3bb-if.com
88TH,88(Thailand) Public Company Limited,mai,Consumer Products,-,"48 Soi Sangkom Songkroh 8, Lat Phrao Sub-district/Sub-area, Lat Phrao District/Area Bangkok",10230,0-2326-8888,-,www.88thailand.co.th
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"999 Praditmanutham road, Saphansong, Wangthonglang Bangkok",10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"Asset Five Group Public Company Limited 199 S-OASIS Building, 12th Floor, Unit 1210, 1211, 1212, Vibhavadi-Rangsit Rd., Chomphol, Chatuchak Bangkok",10900,0-2026-3512,0-2026-3513,www.assetfive.co.th
AAI,Asian Alliance International Public Company Limited,SET,Agro & Food Industry,Food & Beverage,"55/2 Moo 2, Rama 2 Road, Bang Krachao, Muang Samut Sakhon",74000,0-3484-5575-87,0-3484-5546,www.asianalliance.co.th
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"222, Don Mueang International Airport, 3rd Fl., Central Office Bldg., Room no. 3200, Vibhavadee Rangsit Road, Don Mueang, Bangkok",10210,0-2562-5700,0-2562-5705,http://www.aavplc.com
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,mai,Resources,-,"No.99/9 Rama 2 Rd, Samaedum, Bangkhunthian Bangkok",10150,0-2415-0054,0-2415-1102,www.asiabiomass.com
ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,mai,Financials,-,"No. 486 Building E 2, 2nd Floor, On Nut Road, On Nut Subdistrict, Suan Luang District Bangkok",10250,0-2666-9488,0-2666-9488 Press 9,www.acap.co.th
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"944 Mitrtown Office Tower Unit 1606, 16th floor, Rama 4 Road, Wangmai, Pathumwan Bangkok",10330,0-2219-1642,0-2219-1662,http://acc-plc.com
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"140/6 ITF Tower 7th Floor Silom Rd., Suriyawong, Bangrak Bangkok",10500,0-2233-2559,-,http://www.ace-energy.co.th
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"1111 Moo 1 Maliwan Road, Bantum Sub-District, Muang District Khon Kaen",40000,0-4330-6444,0-4330-6448,www.autocorpgroup.com
ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,Industrial,-,"252 Moo 4, Sukhumvit Road, Praksa, Muang Samutprakarn Samut Prakarn",10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th
ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,mai,Services,-,"1 Empire Tower, 41st Floor, Unit 4106-7, South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"AIS TOWER 1, 414 PHAHOLYOTHIN ROAD, PHAYA THAI Bangkok",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th
ADVICE,Advice IT Infinite Public Company Limited,SET,Services,Commerce,"74/1 Moo. 1, Tha-it, Pakkret Nonthaburi",11120,0-2908-8888,-,www.advicepcl.co.th
AE,ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"2106 Fantree 4 Building, 4th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong Bangkok",10260,0-2741-5700,0-2741-5724,www.aeu.co.th
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"EXCHANGE TOWER, FLOOR 27, 388 SUKHUMVIT ROAD, KHLONG TOEI Bangkok",10110,"0-2665-0123,0-2302-4400",-,www.aeon.co.th
AF,AIRA FACTORING PUBLIC COMPANY LIMITED,mai,Financials,-,"No. 188, Spring Tower Building, Floor 12A, Unit 6-10, Phayathai Road, Thung Phayathai Subdistrict, Ratchathewi District Bangkok",10400,0-2657-6222,"0-2657-6244,0-2657-6245",http://www.airafactoring.co.th
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"WALL STREET TOWER,FLOOR 27,33/133-136 SURAWONG ROAD, BANG RAK Bangkok",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 99/9 Rama 2 Rd, Samaedum, Bangkhuntien Bangkok",10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.age.co.th
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"99 MOO 1 HITECH INDUSTRIAL ESTATE TAMBON BAN LANE, AMPHUR BANG PA-IN Ayutthya",13160,0-3535-0880,0-3535-0881,www.aapico.com
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"68/3 MOO 2, PHRAYASATJA ROAD, AMPHOE MUANG Chonburi",20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"254, SERI THAI ROAD, KHAN NA YAO Bangkok",10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com
